ID,Municipality,Contract Type,Fund Source,Serial Number,Description,Year,Contract Awardee,Awardee Headquarters,Date Signed,Estimated Cost,Price,Annex,value,overun_%
296,KACANIK,Services,Not Provided,KA6521499236,Byfeja,2014,LEONI I NNSH,Not Provided,16-Dec-14,Not Provided,"6,500.00",Not Provided,6500,0
297,KACANIK,Services,Not Provided,KA65214100136,Furnizim megyp te ujesjellsit ne Kacanik,2014,KBK KOSMAQI,Drenas,16-Dec-14,Not Provided,"9,984.00",Not Provided,9984,0
298,KACANIK,Services,Not Provided,KA65214101236,Sherbimet e shtypjes se vjetarit per vitin 2014,2014,STAR GRAF NPSH,Ferizaj,18-Dec-14,Not Provided,"2,950.00",Not Provided,2950,0
299,PRISHTINE,Services,Not Provided,133,Hartimi I matjeve xheodezike per revidimin e planeve rregulluese-Faza e dyte Loto II-te,2014,VIA COM & GEO INFO,Prishtine,19-Dec-14,0,"14,001.00",Not Provided,14001,0
300,PRISHTINE,Services,Not Provided,133,Hartimi I matjeve xheodezike per revidimin e planeve rregulluese-Faza e dyte Loto III-te,2014,GEO MAP,Prishtine,19-Dec-14,0,"46,097.60",Not Provided,46097.6,0
301,PRISHTINE,Services,Not Provided,133,Hartimi I matjeve xheodezike per revidimin e planeve rregulluese-Faza e dyte Loto IV-te,2014,GEO MAP,Prishtine,19-Dec-14,0,"18,763.00",Not Provided,18763,0
302,PRISHTINE,Services,Not Provided,133,Hartimi I matjeve xheodezike per revidimin e planeve rregulluese-Faza e dyte Loto V-te,2014,GEO GIS & GEO CAD,Prishtine,19-Dec-14,0,"8,301.30",Not Provided,8301.3,0
303,PRISHTINE,Services,Not Provided,133,Hartimi I matjeve xheodezike per revidimin e planeve rregulluese-Faza e dyte Loto VI-te,2014,ITEG & INTER SHPED,Prishtine,19-Dec-14,0,"9,485.78",Not Provided,9485.78,0
304,PRISHTINE,Services,Not Provided,133,Hartimi I matjeve xheodezike per revidimin e planeve rregulluese-Faza e dyte Loto VII-te,2014,GEO GIS & GEO CAD,Prishtine,19-Dec-14,0,"8,154.80",Not Provided,8154.8,0
305,PRISHTINE,Services,Not Provided,133,Hartimi I matjeve xheodezike per revidimin e planeve rregulluese-Faza e dyte Loto VIII-te,2014,PRO GIS,Prishtine,19-Dec-14,0,"18,297.20",Not Provided,18297.2,0
