ID,Municipality,Contract Type,Fund Source,Serial Number,Description,Year,Contract Awardee,Awardee Headquarters,Date Signed,Estimated Value,Price,Annex,Total,overun_%,clean_overun_%
66,FERIZAJ,Services,2,12,"Shqyrtimi statik i objektit te sh. F. ne Fshatin Dardani, Komuna e Ferizajt",2011,IBMS NSH,Ferizaj,4-May-11,0,1755.18,0,1755.18,N/A,Not Applicable
67,KACANIK,Services,Unknown,KA652/11/07/236,Mirmbajtja dhe Riparimi I Automjeteve,2011,MALI ART NPT,Kacanik,5-May-11,Not Provided,10000,Not Provided,10000,N/A,Not Applicable
68,KACANIK,Jobs,Unknown,KA652/11/03/521,"Asfaltimi i rruges ne fshatin Bob, faza e III - Kacanik.",2011,ATC COM NNP,Kacanik,6-May-11,Not Provided,51679.22,Not Provided,51679.22,N/A,Not Applicable
69,KACANIK,Jobs,Unknown,KA652/11/05/521,Asfaltimi i rruges ne fshatin Bob lagja Kuka,2011,BAGERI NPSH,Ferizaj,6-May-11,Not Provided,87456,Not Provided,87456,N/A,Not Applicable
70,KACANIK,Jobs,Unknown,KA652/11/06/521,Asfaltimi I rruges ne fshatin Doganaj lagja Mursel dhe Kolsh,2011,GèRLICA COMPANY SHPK,Ferizaj,11-May-11,Not Provided,129980.76,Not Provided,129980.76,N/A,Not Applicable
71,KACANIK,Jobs,Unknown,KA652/11/10/521,"Asfaltimi I rruges Deshmoret e Lirise, faza e dyte",2011,EUROTRANS NNT,Kacanik,11-May-11,Not Provided,60926.26,Not Provided,60926.26,N/A,Not Applicable
72,KACANIK,Services,Unknown,KA652/11/14/236,"Rregullimi I rrjetit te nxemjes (Kalldajes) ne ""QEAP AGIMI""",2011,TERMOLUZHA SHPK,Kacanik,17-May-11,Not Provided,3558,Not Provided,3558,N/A,Not Applicable
73,KACANIK,Jobs,Unknown,KA652/11/16/536,"Rregullimi I klaseve ne Sh. F. ""Qamil Ilazi"" dhe SHMP.",2011,AR DRITI NTSH,Ferizaj,18-May-11,Not Provided,7813.1,Not Provided,7813.1,N/A,Not Applicable
74,KACANIK,Supply,Unknown,KA652/11/15/136,Furnizim me material stomatologjik dhe laboratorik per QKMF- ne,2011,ATOM MED NTSH,Ferizaj,19-May-11,Not Provided,10000,Not Provided,10000,N/A,Not Applicable
75,FERIZAJ,Jobs,1,34,"Rregullimi i fushes sportive dhe rruges ne sh.f.ne Fsh.Gacke, Komuna e Ferizajt",2011,BAGERI NPSH,Ferizaj,27-May-11,0,9836.07,0,9836.07,N/A,Not Applicable
